project	experiment	dilution	amount_ng	chain	replica	umi
Chudakov	B	1000	100	TRA	2	FALSE
Chudakov	B	1000	100	TRA	3	FALSE
Chudakov	B	1000	100	TRB	1	FALSE
Chudakov	B	1000	100	TRB	2	FALSE
Chudakov	B	1000	100	TRB	3	FALSE
Chudakov_U	B	10	100	TRA	1	TRUE
Chudakov_U	B	10	100	TRA	2	TRUE
Chudakov_U	B	10	100	TRA	3	TRUE
Chudakov_U	B	100	100	TRA	1	TRUE
Chudakov_U	B	100	100	TRA	2	TRUE
Chudakov_U	B	100	100	TRA	3	TRUE
Chudakov_U	B	1000	100	TRA	1	TRUE
Chudakov_U	B	1000	100	TRA	2	TRUE
Chudakov_U	B	1000	100	TRA	3	TRUE
Chudakov_U	B	10	100	TRB	1	TRUE
Chudakov_U	B	10	100	TRB	2	TRUE
Chudakov_U	B	10	100	TRB	3	TRUE
Chudakov_U	B	100	100	TRB	1	TRUE
Chudakov_U	B	100	100	TRB	2	TRUE
Chudakov_U	B	100	100	TRB	3	TRUE
Chudakov_U	B	1000	100	TRB	1	TRUE
Chudakov_U	B	1000	100	TRB	2	TRUE
Chudakov_U	B	1000	100	TRB	3	TRUE
Douek	B	1000	100	TRA	1	FALSE
Douek	B	1000	100	TRB	1	FALSE
Douek	B	1000	100	TRA	2	FALSE
Douek	B	1000	100	TRB	2	FALSE
Douek	B	1000	100	TRA	3	FALSE
Douek	B	1000	100	TRB	3	FALSE
Douek	B	100	100	TRA	1	FALSE
Douek	B	100	100	TRB	1	FALSE
Douek	B	100	100	TRA	2	FALSE
Douek	B	100	100	TRB	2	FALSE
Douek	B	100	100	TRA	3	FALSE
Douek	B	100	100	TRB	3	FALSE
Douek	B	10	100	TRA	1	FALSE
Douek	B	10	100	TRB	1	FALSE
Douek	B	10	100	TRA	2	FALSE
Douek	B	10	100	TRB	2	FALSE
Douek	B	10	100	TRA	3	FALSE
Douek	B	10	100	TRB	3	FALSE
Clontech	B	1000	100	TRA	1	FALSE
Clontech	B	1000	100	TRA	2	FALSE
Clontech	B	1000	100	TRA	3	FALSE
Clontech	B	100	100	TRA	1	FALSE
Clontech	B	100	100	TRA	2	FALSE
Clontech	B	100	100	TRA	3	FALSE
Clontech	B	10	100	TRA	1	FALSE
Clontech	B	10	100	TRA	2	FALSE
Clontech	B	10	100	TRA	3	FALSE
Clontech	B	1000	100	TRB	1	FALSE
Clontech	B	1000	100	TRB	2	FALSE
Clontech	B	1000	100	TRB	3	FALSE
Clontech	B	100	100	TRB	1	FALSE
Clontech	B	100	100	TRB	2	FALSE
Clontech	B	100	100	TRB	3	FALSE
Clontech	B	10	100	TRB	1	FALSE
Clontech	B	10	100	TRB	2	FALSE
Clontech	B	10	100	TRB	3	FALSE
Invitrogen	B	1000	100	TRB	1	FALSE
Invitrogen	B	1000	100	TRB	2	FALSE
Invitrogen	B	1000	100	TRB	3	FALSE
Invitrogen	B	100	100	TRB	1	FALSE
Invitrogen	B	100	100	TRB	2	FALSE
Invitrogen	B	100	100	TRB	3	FALSE
Invitrogen	B	10	100	TRB	1	FALSE
Invitrogen	B	10	100	TRB	2	FALSE
Invitrogen	B	10	100	TRB	3	FALSE
iRepertoire	B	1000	100	TRB	1	FALSE
iRepertoire	B	1000	100	TRB	2	FALSE
iRepertoire	B	1000	100	TRB	3	FALSE
iRepertoire	B	100	100	TRB	1	FALSE
iRepertoire	B	100	100	TRB	2	FALSE
iRepertoire	B	100	100	TRB	3	FALSE
iRepertoire	B	10	100	TRB	1	FALSE
iRepertoire	B	10	100	TRB	2	FALSE
iRepertoire	B	10	100	TRB	3	FALSE
Eugster	B	1000	100	TRA	1	FALSE
Eugster	B	1000	100	TRA	2	FALSE
Eugster	B	1000	100	TRA	3	FALSE
Eugster	B	100	100	TRA	1	FALSE
Eugster	B	100	100	TRA	2	FALSE
Eugster	B	100	100	TRA	3	FALSE
Eugster	B	10	100	TRA	1	FALSE
Eugster	B	10	100	TRA	2	FALSE
Eugster	B	10	100	TRA	3	FALSE
Chain	A	NA	10	TRA	1	FALSE
Chain	A	NA	10	TRB	1	FALSE
Chain	A	NA	10	TRA	2	FALSE
Chain	A	NA	10	TRB	2	FALSE
Chain	A	NA	10	TRA	3	FALSE
Chain	A	NA	10	TRB	3	FALSE
Chain	A	NA	100	TRA	1	FALSE
Chain	A	NA	100	TRB	1	FALSE
Chain	A	NA	100	TRA	2	FALSE
Chain	A	NA	100	TRB	2	FALSE
Chain	A	NA	100	TRA	3	FALSE
Chain	A	NA	100	TRB	3	FALSE
Chain_U	A	NA	10	TRB	1	TRUE
Chain_U	A	NA	10	TRB	2	TRUE
Chain_U	A	NA	10	TRB	3	TRUE
Chain_U	A	NA	100	TRB	1	TRUE
Chain_U	A	NA	100	TRB	2	TRUE
Chain_U	A	NA	100	TRB	3	TRUE
Chain_U	A	NA	100	TRA	3	TRUE
Chain_U	A	NA	100	TRA	2	TRUE
Chain_U	A	NA	100	TRA	1	TRUE
Chain_U	A	NA	10	TRA	3	TRUE
Chain_U	A	NA	10	TRA	2	TRUE
Chain_U	A	NA	10	TRA	1	TRUE
Chudakov	A	NA	10	TRB	1	FALSE
Chudakov	A	NA	10	TRB	2	FALSE
Chudakov	A	NA	10	TRB	3	FALSE
Chudakov	A	NA	10	TRA	1	FALSE
Chudakov	A	NA	10	TRA	2	FALSE
Chudakov	A	NA	10	TRA	3	FALSE
Chudakov	A	NA	100	TRB	1	FALSE
Chudakov	A	NA	100	TRB	2	FALSE
Chudakov	A	NA	100	TRB	3	FALSE
Chudakov	A	NA	100	TRA	1	FALSE
Chudakov	A	NA	100	TRA	2	FALSE
Chudakov	A	NA	100	TRA	3	FALSE
Chudakov_U	A	NA	100	TRB	3	TRUE
Chudakov_U	A	NA	100	TRB	2	TRUE
Chudakov_U	A	NA	100	TRB	1	TRUE
Chudakov_U	A	NA	10	TRB	3	TRUE
Chudakov_U	A	NA	10	TRB	2	TRUE
Chudakov_U	A	NA	10	TRB	1	TRUE
Chudakov_U	A	NA	100	TRA	3	TRUE
Chudakov_U	A	NA	100	TRA	2	TRUE
Chudakov_U	A	NA	100	TRA	1	TRUE
Chudakov_U	A	NA	10	TRA	3	TRUE
Chudakov_U	A	NA	10	TRA	2	TRUE
Chudakov_U	A	NA	10	TRA	1	TRUE
iRepertoire	A	NA	100	TRB	3	FALSE
iRepertoire	A	NA	10	TRB	1	FALSE
iRepertoire	A	NA	100	TRB	2	FALSE
iRepertoire	A	NA	10	TRB	2	FALSE
iRepertoire	A	NA	100	TRB	1	FALSE
iRepertoire	A	NA	10	TRB	3	FALSE
Invitrogen	A	NA	100	TRB	1	FALSE
Invitrogen	A	NA	100	TRB	2	FALSE
Invitrogen	A	NA	100	TRB	3	FALSE
Invitrogen	A	NA	10	TRB	1	FALSE
Invitrogen	A	NA	10	TRB	2	FALSE
Invitrogen	A	NA	10	TRB	3	FALSE
Clontech	A	NA	10	TRB	1	FALSE
Clontech	A	NA	10	TRB	2	FALSE
Clontech	A	NA	10	TRB	3	FALSE
Clontech	A	NA	100	TRB	1	FALSE
Clontech	A	NA	100	TRB	2	FALSE
Clontech	A	NA	100	TRB	3	FALSE
Chudakov2	B	10	100	TRA	1	FALSE
Chudakov2	B	10	100	TRA	2	FALSE
Chudakov2	B	10	100	TRB	1	FALSE
Chudakov2	B	10	100	TRB	2	FALSE
Chudakov2	B	100	100	TRA	1	FALSE
Chudakov2	B	100	100	TRA	2	FALSE
Chudakov2	B	100	100	TRB	1	FALSE
Chudakov2	B	100	100	TRB	2	FALSE
Chudakov2	B	1000	100	TRA	1	FALSE
Chudakov2	B	1000	100	TRA	2	FALSE
Chudakov2	B	1000	100	TRB	1	FALSE
Chudakov2	B	1000	100	TRB	2	FALSE
Chudakov2_U	B	10	100	TRA	1	TRUE
Chudakov2_U	B	10	100	TRA	2	TRUE
Chudakov2_U	B	10	100	TRB	1	TRUE
Chudakov2_U	B	10	100	TRB	2	TRUE
Chudakov2_U	B	100	100	TRA	1	TRUE
Chudakov2_U	B	100	100	TRA	2	TRUE
Chudakov2_U	B	100	100	TRB	1	TRUE
Chudakov2_U	B	100	100	TRB	2	TRUE
Chudakov2_U	B	1000	100	TRA	1	TRUE
Chudakov2_U	B	1000	100	TRA	2	TRUE
Chudakov2_U	B	1000	100	TRB	1	TRUE
Chudakov2_U	B	1000	100	TRB	2	TRUE
